Date	National	Jakarta	Jabar	Jateng	Jatim
20 Sep	55936	2569	4504	3885	3191
21 Sep	52447	2358	4215	3777	2956
22 Sep	49662	2294	3986	3686	2870
23 Sep	47957	2192	3843	3755	2640
24 Sep	45803	2041	3719	3798	2484
25 Sep	44071	1972	3691	3885	2314
26 Sep	42769	2011	3546	3872	2237
27 Sep	40270	1859	3260	3795	2028
28 Sep	38652	1786	3220	3791	1947
29 Sep	37412	1764	3017	3684	1886
30 Sep	36141	1716	2879	3518	1811
1 Oct	34867				
2 Oct	33812				
3 Oct	32876				
4 Oct	31054				
5 Oct	29823				
6 Oct	28381				
7 Oct	27747				
8 Oct	25551				
9 Oct	25159				
10 Oct	24430				
11 Oct	22541				
12 Oct	21625				
13 Oct	20551				
14 Oct	19852				
15 Oct	19318				
16 Oct	18746				
17 Oct	18388				
18 Oct	17374				
19 Oct	16697				
20 Oct	16376				
21 Oct	15594				
22 Oct	15090				
23 Oct	14803				
24 Oct	14360				
25 Oct	13554				
26 Oct	12989				
27 Oct	12735				
28 Oct	12440				
29 Oct	12414				
30 Oct	12309				
31 Oct	12318				
1 Nov	11919				
2 Nov	11629				
3 Nov	11592				
4 Nov	11364				
5 Nov	11215				
6 Nov	10979				
7 Nov	10825				
8 Nov	9774				
9 Nov	9602				
10 Nov	9537				
11 Nov	9486				
12 Nov	9305				
13 Nov	9198				
14 Nov	9018				
15 Nov	8522				
16 Nov	8339				
17 Nov	8390				
18 Nov	8315				
19 Nov	8154				
20 Nov	8154				
21 Nov	8126				
22 Nov	7965				
23 Nov	7916				
24 Nov	7977				
25 Nov	8040				
26 Nov	8093				
27 Nov	8226				
28 Nov	8214				
29 Nov	7960				
30 Nov	7922				
1 Dec	7883				
2 Dec	7796				
3 Dec	7705				
4 Dec	7632				
5 Dec	7526				
6 Dec	5642				
7 Dec	5466				
8 Dec	5363				
9 Dec	5278				
10 Dec	5154				
11 Dec	5186				
12 Dec	5158				
13 Dec	5064				
14 Dec	4905				
15 Dec	4864				
16 Dec	4833				
17 Dec	4912				
18 Dec	4918				
19 Dec	4923				
20 Dec	4829				
21 Dec	4829				
22 Dec	4746				
23 Dec	4642				
24 Dec	4659				
25 Dec	4713				
26 Dec	4655				
27 Dec	4496				
28 Dec	4614				
29 Dec	4528				
30 Dec	4311				
31 Dec	4292				
1 Jan	4399				
2 Jan	4382				
3 Jan	4530				
4 Jan	4658				
5 Jan	4878				
6 Jan	5195				
7 Jan	5494				
8 Jan	5792				
9 Jan	6108				
10 Jan	6311				
11 Jan	6659				
12 Jan	6985				
13 Jan	7388				
14 Jan	7877				
15 Jan	8463				
16 Jan	8605				
17 Jan	8775				
18 Jan	9564				
19 Jan	10796				
20 Jan	12328				
21 Jan	14119				
22 Jan	16692				
23 Jan	18891				
24 Jan	20867				
25 Jan	24856				
26 Jan	29277				
27 Jan	35704				
